experiment,method,variable,mean,sd,q05,median,q95
crypto_gaussian_k2_rollstd,young_static,pi_0,0.6042163095303944,0.029671366174098854,0.5555281221866608,0.603554904460907,0.6452444881200791
crypto_gaussian_k2_rollstd,young_static,A_00,0.8368612685373851,0.015789905487984153,0.8145097255706787,0.834403783082962,0.8640156090259552
crypto_gaussian_k2_rollstd,young_static,trace_Sigma_0,2.7150330867086137,0.20067470767465898,2.414754605293274,2.7029356956481934,3.0730488181114195
crypto_gaussian_k2_rollstd,young_static,mu_0_0,0.021703630190209617,0.052041302465880235,-0.06400812678039074,0.02643738128244877,0.09553803279995918
crypto_gaussian_k2_rollstd,young_static,mu_0_1,-0.0077322045723641555,0.08846022201606865,-0.10566850602626801,-0.03495568968355656,0.1737586595118045
crypto_gaussian_k2_rollstd,young_static,mu_0_2,-0.0895619485232081,0.05153563977383231,-0.17886335477232934,-0.08321928977966309,-0.008845167513936776
crypto_gaussian_k2_rollstd,young_static,mu_0_3,-0.03608638453131009,0.054815645472466513,-0.11155293919146061,-0.042078129947185516,0.06412675529718398
crypto_gaussian_k2_rollstd,young_static,mu_0_4,-0.05448767067199307,0.04604010855823388,-0.13219452053308486,-0.05324166268110275,0.029898032080382102
crypto_gaussian_k2_rollstd,young_static,pi_1,0.39578370324202944,0.029671366066805455,0.35475551187992094,0.3964451402425766,0.44447190761566147
crypto_gaussian_k2_rollstd,young_static,A_11,0.7510659737246377,0.018333429586135108,0.7207095861434937,0.7509287595748901,0.7846200108528137
crypto_gaussian_k2_rollstd,young_static,trace_Sigma_1,8.224127016748701,0.4367973036457036,7.6182358980178835,8.142752170562744,8.893585157394408
crypto_gaussian_k2_rollstd,young_static,mu_1_0,-0.10133692467352376,0.07715748810339962,-0.22564839646220208,-0.10942184180021286,0.0424782482907175
crypto_gaussian_k2_rollstd,young_static,mu_1_1,-0.06832630702452401,0.061848665576593784,-0.1563400812447071,-0.06632302701473236,0.031040725670754537
crypto_gaussian_k2_rollstd,young_static,mu_1_2,0.0274958168089922,0.07799248737239402,-0.12282899282872677,0.030816657468676567,0.1490127310156822
crypto_gaussian_k2_rollstd,young_static,mu_1_3,0.0878818251724754,0.058013156509916675,0.008168610045686364,0.0813143439590931,0.19132775515317915
crypto_gaussian_k2_rollstd,young_static,mu_1_4,-0.05739715561004621,0.04505675191153326,-0.12202529609203339,-0.059471435844898224,0.01439413190819314
crypto_gaussian_k2_rollstd,online_feature,pi_0,0.5656680230583463,0.042418666269827224,0.5024823784828186,0.5605336427688599,0.6321120262145995
crypto_gaussian_k2_rollstd,online_feature,A_00,0.8227570887122836,0.02069419527401011,0.7928952127695084,0.828129231929779,0.8514065474271775
crypto_gaussian_k2_rollstd,online_feature,trace_Sigma_0,2.7022750411714824,0.16783006119722158,2.476933169364929,2.665489673614502,3.056897282600403
crypto_gaussian_k2_rollstd,online_feature,mu_0_0,0.013599737121590546,0.0823100097029917,-0.14779842644929886,0.04227721132338047,0.11340044178068637
crypto_gaussian_k2_rollstd,online_feature,mu_0_1,-0.004360802321129346,0.07959208355441073,-0.14191441759467124,0.014482897706329823,0.10694583691656587
crypto_gaussian_k2_rollstd,online_feature,mu_0_2,-0.04773584040314225,0.06927449618840574,-0.176859100908041,-0.024295487441122532,0.0378097565844655
crypto_gaussian_k2_rollstd,online_feature,mu_0_3,-0.012963777349796146,0.10176627662665097,-0.20064003467559816,-0.004305270267650485,0.12215892970561977
crypto_gaussian_k2_rollstd,online_feature,mu_0_4,-0.06314742561496262,0.08376845798064339,-0.19284861013293267,-0.07360830530524254,0.06352351568639274
crypto_gaussian_k2_rollstd,online_feature,pi_1,0.43433198694671904,0.04241866631348266,0.36788797527551653,0.43946632742881775,0.49751767665147784
crypto_gaussian_k2_rollstd,online_feature,A_11,0.7692934823887688,0.021093944384100213,0.7321931898593903,0.7699571549892426,0.8059114277362823
